,MEDIO_PREDOMINANTE,LATITUD_ORIGEN,LATITUD_DESTINO,LONGITUD_ORIGEN,LONGITUD_DESTINO,DIFERENCIA_HORAS,tiempo_recorrido,distancia_km,velocidad km/h
13,PEATON,4.613845104254,4.6085647688779,-74.176593561814,-74.172809896978,00:45:00,0.75,0.7223394666743843,0.9631192888991791
14,PEATON,4.6105477030688,4.61541151502,-74.209994598705,-74.1661401749,01:03:00,1.05,4.896074208283866,4.662927817413205
15,PEATON,4.61541151502,4.6105477030688,-74.1661401749,-74.209994598705,01:03:00,1.05,4.896074208283866,4.662927817413205
16,TPC-SITP,4.6105477030688,4.6743847246883,-74.209994598705,-74.087790954622,02:00:00,2.0,15.308398096972576,7.654199048486288
17,TPC-SITP,4.6743847246883,4.6105477030688,-74.087790954622,-74.209994598705,02:50:00,2.8333333333333335,15.308398096972576,5.402964034225615
18,ALIMENTADOR,4.6105477030688,4.6851548150954,-74.209994598705,-74.048667472265,01:00:00,1.0,19.73272482906368,19.73272482906368
19,ALIMENTADOR,4.6851548150954,4.6105477030688,-74.048667472265,-74.209994598705,02:00:00,2.0,19.73272482906368,9.86636241453184
20,Transmilenio,4.6163416399036,4.6338948786214,-74.17084757383,-74.075749650215,00:33:00,0.55,10.731194041714565,19.51126189402648
21,Transmilenio,4.6338948786214,4.6163416399036,-74.075749650215,-74.17084757383,00:47:00,0.7833333333333333,10.731194041714565,13.699396648997316
22,TPC-SITP,4.6163416399036,4.5772124570123,-74.17084757383,-74.099369691003,00:47:00,0.7833333333333333,9.048694366408567,11.551524723074767
23,TPC-SITP,4.5772124570123,4.6163416399036,-74.099369691003,-74.17084757383,01:32:00,1.5333333333333332,9.048694366408567,5.901322412875153
24,"BICICLETA, BICICLETA CON MOTOR",4.6411343554498,4.6987653093412,-74.162095160611,-74.166926630625,01:10:00,1.1666666666666667,6.437812798143273,5.518125255551377
25,"BICICLETA, BICICLETA CON MOTOR",4.6987653093412,4.6411343554498,-74.166926630625,-74.162095160611,02:00:00,2.0,6.437812798143273,3.2189063990716367
26,Transmilenio,4.5867790711897,4.7468228709358,-74.079272394347,-74.096173661307,02:00:00,2.0,17.91443108857244,8.95721554428622
27,Transmilenio,4.7468228709358,4.6411343554498,-74.096173661307,-74.162095160611,01:10:00,1.1666666666666667,13.85319168615589,11.874164302419334
28,MOTO,4.6227465499645,4.5654858647582,-74.14933519013,-74.086997692401,00:30:00,0.5,9.406224948167011,18.812449896334023
