"","V1","MEDIO_PREDOMINANTE","LATITUD_ORIGEN","LATITUD_DESTINO","LONGITUD_ORIGEN","LONGITUD_DESTINO","DIFERENCIA_HORAS","tiempo_recorrido","distancia_km","velocidad km/h","RGB"
"830",125089,"INTERMUNICIPAL",4.9647668,5.0252154,-73.9121163,-74.0011074,"01:30:00",1.5,11.9446594550428,7.96310630336186,"#FFFF14"
"831",125095,"INTERMUNICIPAL",4.9191986,5.0252154,-74.0257644,-74.0011074,"00:30:00",0.5,12.1144005170963,24.2288010341925,"#FFFF3F"
"832",125098,"INTERMUNICIPAL",4.8648572,5.0252154,-74.047458,-74.0011074,"01:30:00",1.5,18.5764299597631,12.3842866398421,"#FFFF20"
"833",125117,"INTERMUNICIPAL",4.9191986,5.0252154,-74.0257644,-74.0011074,"01:00:00",1,12.1144005170963,12.1144005170963,"#FFFF1F"
"834",125303,"Transmilenio",4.7316042270711,5.0252154,-74.020091178063,-74.0011074,"02:00:00",2,32.7524406980446,16.3762203490223,"#FFFF2A"
"835",125305,"INTERMUNICIPAL",4.75319709271,5.0252154,-74.0446776434,-74.0011074,"01:02:00",1.03333333333333,30.66417018067,29.6750034006484,"#FFFF4D"
"836",125307,"TPC-SITP",4.708023074001,5.0252154,-74.053255424083,-74.0011074,"02:06:00",2.1,35.780354293775,17.0382639494167,"#FFFF2C"
"837",125309,"MOTO",4.7528570787541,5.0252154,-74.052734150896,-74.0011074,"01:00:00",1,30.8548240222944,30.8548240222944,"#FFFF50"
"838",125311,"MOTO",4.7528570787541,5.0252154,-74.052734150896,-74.0011074,"01:00:00",1,30.8548240222944,30.8548240222944,"#FFFF50"
"839",125436,"TPC-SITP",4.8648572,5.0252154,-74.047458,-74.0011074,"01:06:00",1.1,18.5764299597631,16.8876635997847,"#FFFF2B"
"840",125467,"Transmilenio",4.6669070844996,5.0252154,-74.058926378025,-74.0011074,"02:28:00",2.46666666666667,40.3990601163626,16.3779973444713,"#FFFF2A"
"841",125473,"BICICLETA, BICICLETA CON MOTOR",4.9647668,5.0252154,-73.9121163,-74.0011074,"01:48:00",1.8,11.9446594550428,6.63592191946822,"#FFFF11"
"842",125609,"Transmilenio",4.657202134064,5.0252154,-74.058778181254,-74.0011074,"02:04:00",2.06666666666667,41.4635338291428,20.0630002399078,"#FFFF34"
"843",125613,"MOTO",4.8648572,5.0252154,-74.047458,-74.0011074,"00:30:00",0.5,18.5764299597631,37.1528599195263,"#FFFF60"
"844",125656,"AUTO",4.8648572,5.0252154,-74.047458,-74.0011074,"00:29:00",0.483333333333333,18.5764299597631,38.4339930201996,"#FFFF63"
"845",125791,"MOTO",4.9084118,5.0252154,-73.9416075,-74.0011074,"00:54:00",0.9,14.5810787377825,16.2011985975361,"#FFFF2A"
"846",125807,"Transmilenio",4.6066578727483,5.0252154,-74.093692584244,-74.0011074,"02:23:00",2.38333333333333,47.7121133003291,20.0190685176206,"#FFFF34"
"847",125930,"AUTO",4.58511155942,5.0252154,-74.2209375353,-74.0011074,"01:13:00",1.21666666666667,54.7254977345867,44.9798611517151,"#FFFF75"
"848",125934,"INTERMUNICIPAL",4.8173413453069,5.0252154,-74.035133556725,-74.0011074,"02:00:00",2,23.4461658512144,11.7230829256072,"#FFFF1E"
"849",125936,"AUTO",4.57841016812,5.0252154,-74.2125784864,-74.0011074,"01:13:00",1.21666666666667,54.9924991700172,45.1993143863155,"#FFFF75"
"850",125955,"MOTO",4.6072883876825,5.0252154,-74.083689211135,-74.0011074,"02:23:00",2.38333333333333,47.4167579623171,19.8951432009722,"#FFFF33"
